Air_Temp,Albedo,LST,MNDWI,NDBI,NDVI,NDWI,longitude,latitude,city
28.13041018459819,0.17010113000000002,40.649834300000066,-0.3627598831619975,0.014028175194492896,0.29915770517573154,-0.3505154316446542,78.31385049292972,17.441706086015984,Hyderabad
28.071475571116196,0.13210015875,42.005079230000035,-0.37476957566894215,-0.10585146222479157,0.46083004785264986,-0.46228234018196057,78.44534687230795,17.47282945061421,Hyderabad
28.033716700381888,0.14932738250000002,41.75214575000001,-0.508903311699118,0.02195526292307902,0.428165846031463,-0.49245024759748035,78.3176622669584,17.333891619900626,Hyderabad
28.224985974948765,0.14555133,40.81048124000006,-0.43498044740928177,-0.0028572142161392934,0.40520318602404926,-0.4372941782881361,78.37080165998233,17.369134192242736,Hyderabad
27.75117065493498,0.12527327000000002,40.99676333000002,-0.42075827787398895,-0.0732544185338975,0.443063194097238,-0.4792413270951836,78.42634627341839,17.239547356387728,Hyderabad
27.890598432479408,0.13995150500000003,40.68059648000002,-0.4483770631615913,-0.1246279404704753,0.5402135773162342,-0.5426798835436019,78.23321072246686,17.319182289707598,Hyderabad
28.31072571229197,0.080475275,36.23033443999998,-0.08363371032469896,-0.25855217174238637,0.3901707327833415,-0.3349431788093497,78.4737957234118,17.433496915034628,Hyderabad
28.071475571116196,0.13376179125000004,44.53612304000001,-0.33367037411526806,-0.03342706676398655,0.3293408245864724,-0.3630481392128812,78.44285078043795,17.491105772052297,Hyderabad
28.271218479662423,0.16424485375000003,43.321016929999985,-0.33879047423397235,0.04129025597156372,0.2350208525312788,-0.3017209153293637,78.46158822783202,17.34453775327969,Hyderabad
28.071475571116196,0.13044188125,39.17154065,-0.4013947028022931,-0.17999949727832062,0.5736212656756887,-0.5422184584385813,78.44925564776022,17.46790702032977,Hyderabad
28.071475571116196,0.1475327325,44.06785430000002,-0.3038539390338466,0.06470659181614846,0.1757186076481493,-0.2439436085702723,78.43904787133619,17.535930801864826,Hyderabad
28.071475571116196,0.139643945,42.57930658999999,-0.3875977023402516,-0.027798239624051643,0.39785881957191016,-0.410967953851775,78.42910037867367,17.46145020826327,Hyderabad
28.112272957148946,0.14298316000000003,41.32147523000003,-0.3367462180351838,0.02520825866432071,0.25705722109007895,-0.3142051798297794,78.37223056723232,17.328429730101277,Hyderabad
27.673996694968196,0.15230990875,45.498295670000005,-0.5223462735564193,0.10770388698471933,0.3606867212359884,-0.4393602326426753,78.23288262540036,17.22910680100119,Hyderabad
28.112272957148946,0.14329920375000002,39.10318025000004,-0.46383547614114784,-0.07436492575866561,0.5078402531083481,-0.5202551923386336,78.35676550757128,17.346308213172165,Hyderabad
27.75117065493498,0.18661745125000004,42.39131549000001,-0.5277739844743006,0.09126344716331675,0.34710697839966187,-0.45859966579854583,78.43324307956216,17.213082097213732,Hyderabad
28.139475968975034,0.1383538925,41.434269889999996,-0.3630157542234767,-0.01474093520359405,0.33676758395404277,-0.37574600054356116,78.30871902993843,17.474117345982116,Hyderabad
28.149963223492648,0.16195774750000003,43.72947032000002,-0.4372405264552602,0.022263309294404298,0.34632663276214726,-0.41905648948434543,78.49160626488437,17.547750441749944,Hyderabad
28.271218479662423,0.16662114249999999,40.14909437,-0.3511617429362167,-0.020880848106638296,0.30967097272167005,-0.36933442604490546,78.49437916267739,17.310723737591157,Hyderabad
28.033716700381888,0.17292001750000005,43.965313700000024,-0.5105753130304087,0.09551143899204236,0.29403428463002607,-0.4363424554752598,78.29951826874051,17.314816950399855,Hyderabad
28.033716700381888,0.19586852,42.65279401999999,-0.5046596577858278,0.10803037189928691,0.275125962695868,-0.4194998161960891,78.25501775523281,17.260620544702245,Hyderabad
28.271218479662423,0.1744947225,42.98434196000005,-0.32332920792079217,0.015928411224345282,0.242237099313232,-0.3089921434951422,78.53875285286546,17.28961650620938,Hyderabad
27.890598432479408,0.16164433000000003,43.011686120000036,-0.4886789994353699,-0.008032307329257839,0.42397901741629923,-0.4947692287377154,78.20611423861689,17.252200210821876,Hyderabad
28.271218479662423,0.15845016375,42.25801271,-0.38123648369789515,0.004198342266912792,0.33054508715942077,-0.37764258151072966,78.48912003415988,17.302965829958737,Hyderabad
28.322366611476184,0.175621205,42.681847189999985,-0.407646166574738,0.05374577422989918,0.28130223348184374,-0.36182777062493804,78.58369161077368,17.52279244350262,Hyderabad
28.224985974948765,0.15551744,42.194779340000025,-0.2664901684272144,0.033682610348010136,0.17843428056887103,-0.23491618561278868,78.40952838454595,17.39704745230764,Hyderabad
